NIT_Proveedor,Proveedor,Fecha_del_dia_de_trafico,Hora_Pico,Trafico_Datos_Internacional(GB),Trafico_Datos_NAPs-Colombia(GB),Trafico_Datos_Acuerdos_de_transito_o_peering_directo(GB),Trafico_Datos_Local(GB),Trafico_Datos_Total_Dia(GB)
830114921,COLOMBIA MOVIL,2020/04/20,20:00,0,0,32101,0,517634
830114921,COLOMBIA MOVIL,2020/04/21,19:00,0,0,33047,0,516501
830114921,COLOMBIA MOVIL,2020/04/22,19:00,0,0,33299,0,517449
830114921,COLOMBIA MOVIL,2020/04/23,19:00,0,0,34018,0,527535
830114921,COLOMBIA MOVIL,2020/04/24,20:00,0,0,34647,0,546563
830114921,COLOMBIA MOVIL,2020/04/25,20:00,0,0,34841,0,551741
830114921,COLOMBIA MOVIL,2020/04/26,20:00,0,0,33845,0,538162
830114921,COLOMBIA MOVIL,2020/04/27,20:00,0,0,33424,0,528270
830114921,COLOMBIA MOVIL,2020/04/28,19:00,0,0,34677,0,542309
830114921,COLOMBIA MOVIL,2020/04/29,19:00,0,0,35372,0,553431
830114921,COLOMBIA MOVIL,2020/04/30,19:00,0,0,35704,0,567446
830114921,COLOMBIA MOVIL,2020/05/01,20:00,0,0,37001,0,562859
830114921,COLOMBIA MOVIL,2020/05/02,20:00,0,0,36175,0,566865
830114921,COLOMBIA MOVIL,2020/05/03,19:00,0,0,34503,0,554702
830114921,COLOMBIA MOVIL,2020/05/04,20:00,0,0,34741,0,541560
830114921,COLOMBIA MOVIL,2020/05/05,20:00,0,0,34260,0,543942
830114921,COLOMBIA MOVIL,2020/05/06,19:00,0,0,34936,0,550912
830114921,COLOMBIA MOVIL,2020/05/07,19:00,0,0,35695,0,558645
830114921,COLOMBIA MOVIL,2020/05/08,20:00,0,0,35450,0,562263
830114921,COLOMBIA MOVIL,2020/05/09,20:00,0,0,36436,0,567588
830114921,COLOMBIA MOVIL,2020/05/10,19:00,0,0,34981,0,592196
805006014,DIRECTV,2020/03/30,18:00,125441,16594,1433412,5343746,142258105
805006014,DIRECTV,2020/03/31,21:00,1256373,188733,130586,5417801,14430138
805006014,DIRECTV,2020/04/01,21:00,1342472,148708,1285832,5384569,144600182
805006014,DIRECTV,2020/04/02,18:00,1242111,146121,1319414,5574725,147389119
805006014,DIRECTV,2020/04/03,18:00,1176697,15903,1378354,5737418,151636062
805006014,DIRECTV,2020/04/04,21:00,1084477,133356,1295912,6036785,152090678
805006014,DIRECTV,2020/04/05,18:00,11601,144557,1289754,5765165,151142108
805006014,DIRECTV,2020/04/06,21:00,1098934,158274,1297145,5547357,144111097
805006014,DIRECTV,2020/04/07,18:00,1197537,151045,1422842,5579611,147749431
805006014,DIRECTV,2020/04/08,18:00,1177725,155652,1419494,5514583,148846357
805006014,DIRECTV,2020/04/09,18:00,1194254,132384,1420722,5723147,149455584
805006014,DIRECTV,2020/04/10,18:00,1307292,130031,1365299,5628795,149953685
805006014,DIRECTV,2020/04/11,18:00,1205937,139839,1372031,5757833,150583877
805006014,DIRECTV,2020/04/12,18:00,1140137,139599,1373096,6000191,151812532
805006014,DIRECTV,2020/04/13,18:00,1164032,162041,1417952,545691,14341891
805006014,DIRECTV,2020/04/14,18:00,114334,164658,146258,5482694,144698002
805006014,DIRECTV,2020/04/15,18:00,1166584,155583,1446701,548324,144912492
805006014,DIRECTV,2020/04/16,18:00,1182147,136631,1455552,5504044,145371696
805006014,DIRECTV,2020/04/17,18:00,1192735,14362,1435092,5504655,145959725
805006014,DIRECTV,2020/04/18,18:00,1183585,152091,1425029,5677471,149504343
805006014,DIRECTV,2020/04/19,18:00,1185476,130094,1398084,5724318,147465589
805006014,DIRECTV,2020/04/20,18:00,1140338,157005,150089,5252798,142145854
805006014,DIRECTV,2020/04/21,18:00,1161662,141301,1506634,5351525,143092552
805006014,DIRECTV,2020/04/22,18:00,1186999,14159,1527266,529294,141838434
805006014,DIRECTV,2020/04/23,18:00,114348,149999,1528957,5467751,142616374
805006014,DIRECTV,2020/04/24,21:00,1130319,142847,1390566,5588206,144525476
805006014,DIRECTV,2020/04/25,21:00,1021514,137808,1438649,5942696,15023575
805006014,DIRECTV,2020/04/26,18:00,11463,145241,1438012,5741913,149141418
805006014,DIRECTV,2020/04/27,20:00,1098003,142794,1473874,5346677,142010657
805006014,DIRECTV,2020/04/28,18:00,1162557,15482,1511063,5343503,141467258
805006014,DIRECTV,2020/04/29,21:00,94249,139791,1428722,5538894,141231783
805006014,DIRECTV,2020/04/30,19:00,394781,107079,1515321,5486659,134934316
805006014,DIRECTV,2020/05/01,21:00,1161301,103632,1393635,5838472,149686992
805006014,DIRECTV,2020/05/02,21:00,1092391,99165,1382358,5908074,148775423
805006014,DIRECTV,2020/05/03,18:00,1151077,100474,1478291,5805436,149894558
805006014,DIRECTV,2020/05/04,20:00,1077396,165568,1508403,5312581,140430926
805006014,DIRECTV,2020/05/05,20:00,1088659,178392,1489063,5198885,140491732
805006014,DIRECTV,2020/05/06,18:00,1170146,148704,1539172,5178954,140413638
805006014,DIRECTV,2020/05/07,21:00,1097335,154359,1538081,5175941,140747737
805006014,DIRECTV,2020/05/08,20:00,1197629,154297,1509768,5302337,140686154
805006014,DIRECTV,2020/05/09,21:00,1064524,134047,1337348,5832222,146302161
805006014,DIRECTV,2020/05/10,18:00,1191475,14326,1407144,5539703,147780676
890905065,EDATEL S.A,2020/03/30,20:45,0,0,84798,0,1259280
890905065,EDATEL S.A,2020/03/31,21:00,0,0,81356,0,1242216
890905065,EDATEL S.A,2020/04/01,20:20,0,0,85352,0,1267596
890905065,EDATEL S.A,2020/04/02,20:30,0,0,76037,0,1152144
890905065,EDATEL S.A,2020/04/03,20:30,0,0,76437,0,1186488
890905065,EDATEL S.A,2020/04/04,21:00,0,0,74345,0,1143180
890905065,EDATEL S.A,2020/04/05,21:20,0,0,73562,0,1143720
890905065,EDATEL S.A,2020/04/06,21:00,0,0,72369,0,1099764
890905065,EDATEL S.A,2020/04/07,19:45,0,0,71442,0,1084752
890905065,EDATEL S.A,2020/04/08,19:40,0,0,67523,0,1080324
890905065,EDATEL S.A,2020/04/09,21:20,0,0,69606,0,1065852
890905065,EDATEL S.A,2020/04/10,20:00,0,0,69683,0,1076328
890905065,EDATEL S.A,2020/04/11,20:40,0,0,70097,0,1074492
890905065,EDATEL S.A,2020/04/12,20:30,0,0,71591,0,1102140
890905065,EDATEL S.A,2020/04/13,19:50,0,0,70016,0,1061316
890905065,EDATEL S.A,2020/04/14,20:00,0,0,69588,0,973836
890905065,EDATEL S.A,2020/04/15,19:50,0,0,68868,0,963252
890905065,EDATEL S.A,2020/04/16,20:00,0,0,66726,0,1017036
890905065,EDATEL S.A,2020/04/17,19:40,0,0,66020,0,1009152
890905065,EDATEL S.A,2020/04/18,20:50,0,0,66924,0,982476
890905065,EDATEL S.A,2020/04/19,20:20,0,0,67424,0,976320
890905065,EDATEL S.A,2020/04/20,20:00,0,0,64557,0,982260
890905065,EDATEL S.A,2020/04/21,19:40,0,0,67289,0,968976
890905065,EDATEL S.A,2020/04/22,19:50,0,0,56903,0,859140
890905065,EDATEL S.A,2020/04/23,20:00,0,0,58046,0,863784
890905065,EDATEL S.A,2020/04/24,19:50,0,0,86886,0,1265436
890905065,EDATEL S.A,2020/04/25,21:30,0,0,87305,0,1306476
890905065,EDATEL S.A,2020/04/26,20:30,0,0,86454,0,1312524
890905065,EDATEL S.A,2020/04/27,20:20,0,0,84051,0,1261980
890905065,EDATEL S.A,2020/04/28,20:20,0,0,84731,0,1239084
890905065,EDATEL S.A,2020/04/29,19:50,0,0,85662,0,1278612
890905065,EDATEL S.A,2020/04/30,19:45,0,0,86292,0,1250424
890905065,EDATEL S.A,2020/05/01,21:00,0,0,89906,0,1307124
890905065,EDATEL S.A,2020/05/02,20:45,0,0,87161,0,1313604
890905065,EDATEL S.A,2020/05/03,20:50,0,0,87629,0,1258416
890905065,EDATEL S.A,2020/05/04,19:50,0,0,85460,0,1241676
890905065,EDATEL S.A,2020/05/05,19:55,0,0,83390,0,1211112
890905065,EDATEL S.A,2020/05/06,19:40,0,0,83309,0,1239516
890905065,EDATEL S.A,2020/05/07,19:35,0,0,83975,0,1149336
890905065,EDATEL S.A,2020/05/08,19:40,0,0,82103,0,1253880
890905065,EDATEL S.A,2020/05/09,21:20,0,0,86454,0,1280772
890905065,EDATEL S.A,2020/05/10,20:45,0,0,80087,0,1235952
899999115,ETB SA ESP,2020/03/30,18:00,81304,16764,0,296719,6471248
899999115,ETB SA ESP,2020/03/31,18:00,74599,18021,0,304263,6164052
899999115,ETB SA ESP,2020/04/01,18:00,84238,20536,0,308035,6530132
899999115,ETB SA ESP,2020/04/02,18:00,76694,17183,0,316417,6587292
899999115,ETB SA ESP,2020/04/03,18:00,71246,17602,0,331923,6889049
899999115,ETB SA ESP,2020/04/04,18:00,69989,16764,0,336953,7015577
899999115,ETB SA ESP,2020/04/05,18:00,67893,16345,0,337372,6927669
899999115,ETB SA ESP,2020/04/06,17:00,69151,17602,0,315160,6590404
899999115,ETB SA ESP,2020/04/07,18:00,72923,14668,0,332342,6792855
899999115,ETB SA ESP,2020/04/08,18:00,73967,17602,0,338210,7125427
899999115,ETB SA ESP,2020/04/09,18:00,73731,14668,0,343658,7053487
899999115,ETB SA ESP,2020/04/10,18:00,69338,14668,0,352878,7071134
899999115,ETB SA ESP,2020/04/11,21:00,65869,14249,0,344915,6917808
899999115,ETB SA ESP,2020/04/12,17:00,65730,13830,0,347011,6857462
899999115,ETB SA ESP,2020/04/13,18:00,66465,15681,0,314835,6472929
899999115,ETB SA ESP,2020/04/14,18:00,66221,17045,0,319282,6565820
899999115,ETB SA ESP,2020/04/15,18:00,65343,15702,0,318985,6640100
899999115,ETB SA ESP,2020/04/16,18:00,68613,15805,0,322704,6721691
899999115,ETB SA ESP,2020/04/17,18:00,69670,16189,0,325063,6733053
899999115,ETB SA ESP,2020/04/18,21:00,62785,13848,0,348869,6973387
899999115,ETB SA ESP,2020/04/19,18:00,66210,13434,0,340911,6810030
899999115,ETB SA ESP,2020/04/20,18:00,66992,15579,0,306038,6461078
899999115,ETB SA ESP,2020/04/21,18:00,66376,16172,0,330452,6648302
899999115,ETB SA ESP,2020/04/22,18:00,68149,16431,0,320731,6614710
899999115,ETB SA ESP,2020/04/23,18:00,69665,16722,0,318212,6538573
899999115,ETB SA ESP,2020/04/24,18:00,70252,16254,0,322916,6692154
899999115,ETB SA ESP,2020/04/25,21:00,67563,14122,0,359015,6948079
899999115,ETB SA ESP,2020/04/26,18:00,68025,13471,0,348621,6801082
899999115,ETB SA ESP,2020/04/27,18:00,65300,16209,0,309913,6440061
899999115,ETB SA ESP,2020/04/28,19:00,67116,15732,0,310675,6407047
899999115,ETB SA ESP,2020/04/29,18:00,74685,15928,0,318370,6764958
899999115,ETB SA ESP,2020/04/30,19:00,76369,13318,0,321425,6772859
899999115,ETB SA ESP,2020/05/01,21:00,75709,10428,0,349223,6943555
899999115,ETB SA ESP,2020/05/02,21:00,71819,10199,0,354644,6993150
899999115,ETB SA ESP,2020/05/03,18:00,68683,11453,0,354049,6876034
899999115,ETB SA ESP,2020/05/04,18:00,64679,16777,0,302158,6361604
899999115,ETB SA ESP,2020/05/05,21:00,62549,14000,0,308964,6405960
899999115,ETB SA ESP,2020/05/06,18:00,69204,16589,0,307691,6462773
899999115,ETB SA ESP,2020/05/07,19:00,70210,15817,0,317201,6496842
899999115,ETB SA ESP,2020/05/08,21:00,69343,16411,0,326858,6668509
899999115,ETB SA ESP,2020/05/09,21:00,66789,15594,0,339057,6741300
899999115,ETB SA ESP,2020/05/10,21:00,64063,13910,0,334359,6582791
800132211,HVTV,2020/03/30,20:00,0,0,22251,18990,656201
800132211,HVTV,2020/03/31,20:00,0,0,22312,18872,679451
800132211,HVTV,2020/04/01,18:00,0,0,22679,19643,683307
800132211,HVTV,2020/04/02,18:00,0,0,22420,19458,678069
800132211,HVTV,2020/04/03,18:00,0,0,22751,19766,685934
800132211,HVTV,2020/04/04,18:00,0,0,22679,20263,697640
800132211,HVTV,2020/04/05,18:00,0,0,23191,20688,691678
800132211,HVTV,2020/04/06,18:00,0,0,22697,19807,657127
800132211,HVTV,2020/04/07,18:00,0,0,23851,19419,636244
800132211,HVTV,2020/04/08,18:00,0,0,22989,20207,643759
800132211,HVTV,2020/04/09,18:00,0,0,23726,21196,659731
800132211,HVTV,2020/04/10,18:00,0,0,22680,20671,690336
800132211,HVTV,2020/04/11,18:00,0,0,23062,21253,691318
800132211,HVTV,2020/04/12,18:00,0,0,23391,21593,695595
800132211,HVTV,2020/04/13,18:00,0,0,23863,20066,630406
800132211,HVTV,2020/04/14,18:00,0,0,24574,20075,632026
800132211,HVTV,2020/04/15,18:00,0,0,24691,19650,637632
800132211,HVTV,2020/04/16,18:00,0,0,24115,19463,635914
800132211,HVTV,2020/04/17,18:00,0,0,24421,20473,637578
800132211,HVTV,2020/04/18,18:00,0,0,24876,21448,679212
800132211,HVTV,2020/04/19,18:00,0,0,24340,20909,661737
800132211,HVTV,2020/04/20,18:00,0,0,23778,20057,629262
800132211,HVTV,2020/04/21,18:00,0,0,24664,20147,641844
800132211,HVTV,2020/04/22,18:00,0,0,24034,19908,626767
800132211,HVTV,2020/04/23,18:00,0,0,25177,20345,633020
800132211,HVTV,2020/04/24,18:00,0,0,24934,20772,661770
800132211,HVTV,2020/04/25,18:00,0,0,24664,21886,679989
800132211,HVTV,2020/04/26,18:00,0,0,24475,21470,681210
800132211,HVTV,2020/04/27,18:00,0,0,24493,20121,626907
800132211,HVTV,2020/04/28,18:00,0,0,24457,20659,635504
800132211,HVTV,2020/04/29,18:00,0,0,23733,20333,613872
800132211,HVTV,2020/04/30,18:00,0,0,24840,20831,645505
800132211,HVTV,2020/05/01,18:00,0,0,25249,20656,673866
800132211,HVTV,2020/05/02,18:00,0,0,24151,20567,637362
800132211,HVTV,2020/05/03,18:00,0,0,24547,19958,641757
800132211,HVTV,2020/05/04,18:00,0,0,24088,18267,594291
800132211,HVTV,2020/05/05,18:00,0,0,23683,19334,614574
800132211,HVTV,2020/05/06,18:00,0,0,24444,19635,633463
800132211,HVTV,2020/05/07,18:00,0,0,23616,19620,619077
800132211,HVTV,2020/05/08,18:00,0,0,24147,18889,624294
800132211,HVTV,2020/05/09,18:00,0,0,23152,20565,645807
800132211,HVTV,2020/05/10,18:00,0,0,23796,20365,644176
830122566,COLOMBIA TELECOMUNICACIONES,2020/03/30,21:00,243192,28056,0,433498,11057536
830122566,COLOMBIA TELECOMUNICACIONES,2020/03/31,21:00,250370,24661,0,426019,11239411
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/01,20:00,250718,30779,0,434892,11157959
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/02,20:00,249028,28062,0,440210,11342813
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/03,21:00,267815,27666,0,456462,11863900
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/04,21:00,270501,28119,0,468756,11923299
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/05,21:00,263711,28116,0,456254,11824295
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/06,21:00,243829,27045,0,425025,11108410
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/07,20:00,255193,27247,0,433763,11371066
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/08,20:00,255888,27822,0,430765,11626074
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/09,21:00,261909,27486,0,444977,11439880
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/10,21:00,256839,26774,0,449382,11558681
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/11,21:00,260819,27413,0,451142,11488131
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/12,18:00,254564,27271,0,466559,11611740
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/13,21:00,239110,27134,0,409800,10813131
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/14,20:00,241915,28100,0,413333,10888490
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/15,19:00,245478,27435,0,424585,11159799
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/16,19:00,250822,27830,0,422180,11148023
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/17,21:00,246458,27365,0,431878,11257127
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/18,21:00,261904,25021,0,468572,11802685
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/19,17:00,253417,26469,0,443123,11629041
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/20,21:00,231034,26721,0,411378,10860151
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/21,20:00,243711,27023,0,420345,11056985
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/22,19:00,242593,27218,0,420345,10980890
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/23,20:00,242179,26985,0,420383,10944517
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/24,20:00,238523,28060,0,445233,11304061
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/25,21:00,245415,27476,0,481865,11790390
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/26,18:00,237398,26806,0,462705,11658660
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/27,20:00,226698,27422,0,424782,10918710
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/28,20:00,226834,28468,0,432014,10891227
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/29,20:00,242104,28096,0,434431,11304882
830122566,COLOMBIA TELECOMUNICACIONES,2020/04/30,19:00,244307,25855,0,435945,11263342
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/01,21:00,255813,25715,0,486395,11779918
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/02,21:00,246672,24627,0,490218,11846885
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/03,21:00,237511,24625,0,473488,11799729
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/04,20:00,222093,30748,0,427915,10799244
